OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
5205	579637	Rtyně v Podkrkonoší	1	2	47	47	Komunistická strana Čech a Moravy	Komunistická str.Čech a Moravy	KSČM	1	047	2232	11.88	2
5205	579637	Rtyně v Podkrkonoší	1	3	902	90	Sdružení nezávislých kandidátů - MĚSTA RTYNĚ V PODKRKONOŠÍ	SNK- MĚSTA RTYNĚ V PODKRKONOŠÍ	SNK-CELK	1	080	3133	16.68	2
5205	579637	Rtyně v Podkrkonoší	1	4	901	90	Sdružení nezávislých kandidátů	Sdruž.nezáv.kand.	SNK-CELK	1	080	5688	30.28	5
5205	579637	Rtyně v Podkrkonoší	1	5	53	53	Občanská demokratická strana	Občanská demokratická strana	ODS	1	053	3921	20.87	3
5205	579645	Rudník	1	1	210	210	Koalice KDU-ČSL, ODS	Koalice KDU-ČSL, ODS		2	001,053	4224	36.6	6
5205	579645	Rudník	1	2	47	47	Komunistická strana Čech a Moravy	Komunistická str.Čech a Moravy	KSČM	1	047	1807	15.66	2
5205	579645	Rudník	1	3	113	113	Volba pro město	Volba pro město	VPM	1	113	5507	47.72	7
5205	579661	Staré Buky	1	1	47	47	Komunistická strana Čech a Moravy	Komunistická str.Čech a Moravy	KSČM	1	047	329	26.74	1
5205	579661	Staré Buky	1	2	901	90	Starobucké sdružení nezávislých	Starobuc.sdruž.nezávislých	SNK-CELK	1	080	749	52.19	4
5205	579661	Staré Buky	1	3	53	53	Občanská demokratická strana	Občanská demokratická strana	ODS	1	053	357	43.53	2
5205	579696	Strážné	1	1	902	90	Sdružení nezávislých kandidátů - Za Strážné	SNK - Za Strážné	SNK-CELK	1	080	333	36.54	3
5205	579696	Strážné	1	2	901	90	Sdružení nezávislých kandidátů - Realisté pro obec Strážné	SNK - Realisté pro ob.Strážné	SNK-CELK	1	080	567	55.31	6
5205	579696	Strážné	1	3	801	80	Václav Choura, nezávislý kandidát	Václav Choura, NK	NK	1	080	39	34.24	0
5205	579696	Strážné	1	4	802	80	Josef Grohman, nezávislý kandidát	Josef Grohman, NK	NK	1	080	67	58.82	0
5205	579696	Strážné	1	5	803	80	Roman Řehořek, nezávislý kandidát	Roman Řehořek, NK	NK	1	080	19	16.68	0
5205	579726	Suchovršice	1	1	801	80	Helena Hátlová, nezávislý kandidát	Helena Hátlová, NK	NK	1	080	33	21.45	0
5205	579726	Suchovršice	1	2	802	80	Gita Müllerová, nezávislý kandidát	Gita Müllerová, NK	NK	1	080	25	16.25	0
5205	579726	Suchovršice	1	3	803	80	Lenka Hozová, nezávislý kandidát	Lenka Hozová, NK	NK	1	080	105	68.28	1
5205	579726	Suchovršice	1	4	804	80	František Seidel, nezávislý kandidát	František Seidel, NK	NK	1	080	103	66.97	1
5205	579726	Suchovršice	1	5	805	80	Irena Müllerová, nezávislý kandidát	Irena Müllerová, NK	NK	1	080	27	17.55	0
5205	579726	Suchovršice	1	6	806	80	Gabriela Paťhová, nezávislý kandidát	Gabriela Paťhová, NK	NK	1	080	17	11.05	0
5205	579726	Suchovršice	1	7	807	80	Libor Hájek, nezávislý kandidát	Libor Hájek, NK	NK	1	080	91	59.17	1
5205	579726	Suchovršice	1	8	808	80	Jan Synek, nezávislý kandidát	Jan Synek, NK	NK	1	080	54	35.11	0
