label	okres	value
Lichnov	Bruntál	bruntal/lichnov
Holasice	Brno-venkov	brno-venkov/holasice
Kněževes	Rakovník	rakovnik/knezeves
Osečná	Liberec	liberec/osecna
Čechy pod Kosířem	Prostějov	prostejov/cechy-pod-kosirem
Straškov-Vodochody	Litoměřice	litomerice/straskov-vodochody
Týnec	Břeclav	breclav/tynec
Pavlíkov	Rakovník	rakovnik/pavlikov
Choltice	Pardubice	pardubice/choltice
Chyšky	Písek	pisek/chysky
Hrobčice	Teplice	teplice/hrobcice
Zaječice	Chrudim	chrudim/zajecice
Hostouň	Kladno	kladno/hostoun
Stonařov	Jihlava	jihlava/stonarov
Dubicko	Šumperk	sumperk/dubicko
Velké Albrechtice	Nový Jičín	novy-jicin/velke-albrechtice
Vlkoš	Hodonín	hodonin/vlkos
Brloh	Český Krumlov	cesky-krumlov/brloh
Merklín	Karlovy Vary	karlovy-vary/merklin
Strachotice	Znojmo	znojmo/strachotice
Hartmanice	Klatovy	klatovy/hartmanice
Skřivany	Hradec Králové	hradec-kralove/skrivany
Opatovice	Brno-venkov	brno-venkov/opatovice
Brodce	Mladá Boleslav	mlada-boleslav/brodce
Horoušany	Praha-východ	praha-vychod/horousany
Žarošice	Hodonín	hodonin/zarosice
Liběchov	Mělník	melnik/libechov
Klobuky	Kladno	kladno/klobuky
Středokluky	Praha-západ	praha-zapad/stredokluky
Lubná	Rakovník	rakovnik/lubna
Jenišovice	Jablonec nad Nisou	jablonec-nad-nisou/jenisovice
Koberovy	Jablonec nad Nisou	jablonec-nad-nisou/koberovy
Sivice	Brno-venkov	brno-venkov/sivice
Přibice	Brno-venkov	brno-venkov/pribice
Švábenice	Vyškov	vyskov/svabenice
Družec	Kladno	kladno/druzec
Nový Rychnov	Pelhřimov	pelhrimov/novy-rychnov
Plavy	Jablonec nad Nisou	jablonec-nad-nisou/plavy
Žeravice	Hodonín	hodonin/zeravice
Popovice	Uherské Hradiště	uherske-hradiste/popovice
Miskovice	Kutná Hora	kutna-hora/miskovice
Kobylnice	Brno-venkov	brno-venkov/kobylnice
Cítoliby	Louny	louny/citoliby
Bystrovany	Olomouc	olomouc/bystrovany
Praskačka	Hradec Králové	hradec-kralove/praskacka
Karlovice	Bruntál	bruntal/karlovice
Pržno	Frýdek-Místek	frydek-mistek/przno
Osík	Svitavy	svitavy/osik
Třanovice	Frýdek-Místek	frydek-mistek/tranovice
Velký Borek	Mělník	melnik/velky-borek
Vigantice	Vsetín	vsetin/vigantice
Nová Ves	Mělník	melnik/nova-ves
Suché Lazce	Opava	opava/suche-lazce
Šimonovice	Liberec	liberec/simonovice
Dobřejovice	Praha-východ	praha-vychod/dobrejovice
Písečná	Jeseník	jesenik/pisecna
Chotěvice	Trutnov	trutnov/chotevice
Bedihošť	Prostějov	prostejov/bedihost
Hněvošice	Opava	opava/hnevosice
Ženklava	Nový Jičín	novy-jicin/zenklava
Jedlová	Svitavy	svitavy/jedlova
Deblín	Brno-venkov	brno-venkov/deblin
Načeradec	Benešov	benesov/naceradec
Nová Ves pod Pleší	Příbram	pribram/nova-ves-pod-plesi
Brno-Kníničky	Brno-město	brno-mesto/brno-kninicky
Šaratice	Vyškov	vyskov/saratice
Braškov	Kladno	kladno/braskov
Horní Maršov	Trutnov	trutnov/horni-marsov
Prakšice	Uherské Hradiště	uherske-hradiste/praksice
Česká Bělá	Havlíčkův Brod	havlickuv-brod/ceska-bela
Uherčice	Břeclav	breclav/uhercice
Bělčice	Strakonice	strakonice/belcice
Ostřešany	Pardubice	pardubice/ostresany
Lukavec	Pelhřimov	pelhrimov/lukavec
Holubice	Vyškov	vyskov/holubice
Vysoká Pec	Chomutov	chomutov/vysoka-pec
Horní Ředice	Pardubice	pardubice/horni-redice
Střítež	Frýdek-Místek	frydek-mistek/stritez
Protivanov	Prostějov	prostejov/protivanov
Hradčovice	Uherské Hradiště	uherske-hradiste/hradcovice
Skřipov	Opava	opava/skripov
Malešov	Kutná Hora	kutna-hora/malesov
Vávrovice	Opava	opava/vavrovice
Úhonice	Praha-západ	praha-zapad/uhonice
Březová	Uherské Hradiště	uherske-hradiste/brezova
Měcholupy	Louny	louny/mecholupy
Kozolupy	Plzeň-sever	plzen-sever/kozolupy
Břehy	Pardubice	pardubice/brehy
Bečváry	Kolín	kolin/becvary
Světec	Teplice	teplice/svetec
Čermná nad Orlicí	Rychnov nad Kněžnou	rychnov-nad-kneznou/cermna-nad-orlici
Staré Město	Svitavy	svitavy/stare-mesto
Chuderov	Ústí nad Labem	usti-nad-labem/chuderov
Louňovice	Praha-východ	praha-vychod/lounovice
Čisovice	Praha-západ	praha-zapad/cisovice
Huštěnovice	Uherské Hradiště	uherske-hradiste/hustenovice
Koloveč	Domažlice	domazlice/kolovec
Vilémov	Havlíčkův Brod	havlickuv-brod/vilemov
Hajnice	Trutnov	trutnov/hajnice
Raduň	Opava	opava/radun
Čeperka	Pardubice	pardubice/ceperka
Radvanice	Trutnov	trutnov/radvanice
Roztoky u Jilemnice	Semily	semily/roztoky-u-jilemnice
Lubná	Svitavy	svitavy/lubna
Mochtín	Klatovy	klatovy/mochtin
Janov	Svitavy	svitavy/janov
Moravské Bránice	Brno-venkov	brno-venkov/moravske-branice
Černuc	Kladno	kladno/cernuc
Modlany	Teplice	teplice/modlany
Olomučany	Blansko	blansko/olomucany
Albrechtice nad Orlicí	Rychnov nad Kněžnou	rychnov-nad-kneznou/albrechtice-nad-orlici
Horní Čermná	Ústí nad Orlicí	usti-nad-orlici/horni-cermna
Domanín	Hodonín	hodonin/domanin
Malý Újezd	Mělník	melnik/maly-ujezd
Úvalno	Bruntál	bruntal/uvalno
Kateřinice	Vsetín	vsetin/katerinice
Nošovice	Frýdek-Místek	frydek-mistek/nosovice
Bochoř	Přerov	prerov/bochor
Výprachtice	Ústí nad Orlicí	usti-nad-orlici/vyprachtice
Pustějov	Nový Jičín	novy-jicin/pustejov
Vendolí	Svitavy	svitavy/vendoli
Kralice nad Oslavou	Třebíč	trebic/kralice-nad-oslavou
Havlíčkova Borová	Havlíčkův Brod	havlickuv-brod/havlickova-borova
Bohuslavice	Náchod	nachod/bohuslavice
Javornice	Rychnov nad Kněžnou	rychnov-nad-kneznou/javornice
Sebranice	Svitavy	svitavy/sebranice
Louka	Hodonín	hodonin/louka
Česká	Brno-venkov	brno-venkov/ceska
Zahořany	Domažlice	domazlice/zahorany
Sloup	Blansko	blansko/sloup
Loukov	Kroměříž	kromeriz/loukov
Bystřička	Vsetín	vsetin/bystricka
Starý Poddvorov	Hodonín	hodonin/stary-poddvorov
Mělnické Vtelno	Mělník	melnik/melnicke-vtelno
Plzeň 7-Radčice	Plzeň-město	plzen-mesto/plzen-7-radcice
Dolní Branná	Trutnov	trutnov/dolni-branna
Kostelec u Holešova	Kroměříž	kromeriz/kostelec-u-holesova
Nížkov	Žďár nad Sázavou	zdar-nad-sazavou/nizkov
Kunvald	Ústí nad Orlicí	usti-nad-orlici/kunvald
Červená Řečice	Pelhřimov	pelhrimov/cervena-recice
Závišice	Nový Jičín	novy-jicin/zavisice
Chuchelna	Semily	semily/chuchelna
Blšany	Louny	louny/blsany
Borová	Svitavy	svitavy/borova
Kudlovice	Uherské Hradiště	uherske-hradiste/kudlovice
Stružnice	Česká Lípa	ceska-lipa/struznice
Chotyně	Liberec	liberec/chotyne
Havlovice	Trutnov	trutnov/havlovice
Čimelice	Písek	pisek/cimelice
Bernartice nad Odrou	Nový Jičín	novy-jicin/bernartice-nad-odrou
Čistá	Svitavy	svitavy/cista
Praha-Křeslice	Praha	praha/praha-kreslice
Písečná	Frýdek-Místek	frydek-mistek/pisecna
Libštát	Semily	semily/libstat
Korytná	Uherské Hradiště	uherske-hradiste/korytna
Hladké Životice	Nový Jičín	novy-jicin/hladke-zivotice
Nepolisy	Hradec Králové	hradec-kralove/nepolisy
Němčice	Svitavy	svitavy/nemcice
Víchová nad Jizerou	Semily	semily/vichova-nad-jizerou
Kořenov	Jablonec nad Nisou	jablonec-nad-nisou/korenov
Živanice	Pardubice	pardubice/zivanice
Klučov	Kolín	kolin/klucov
Halže	Tachov	tachov/halze
Libčeves	Louny	louny/libceves
Žichlínek	Ústí nad Orlicí	usti-nad-orlici/zichlinek
Kuchařovice	Znojmo	znojmo/kucharovice
Bečov nad Teplou	Karlovy Vary	karlovy-vary/becov-nad-teplou
Lhota pod Libčany	Hradec Králové	hradec-kralove/lhota-pod-libcany
Popice	Břeclav	breclav/popice
Velké Přítočno	Kladno	kladno/velke-pritocno
Vrchotovy Janovice	Benešov	benesov/vrchotovy-janovice
Nové Syrovice	Třebíč	trebic/nove-syrovice
Bernartice	Trutnov	trutnov/bernartice
Nová Ves	Praha-východ	praha-vychod/nova-ves
Malhostovice	Brno-venkov	brno-venkov/malhostovice
Sokoleč	Nymburk	nymburk/sokolec
Branky	Vsetín	vsetin/branky
Kostelany nad Moravou	Uherské Hradiště	uherske-hradiste/kostelany-nad-moravou
Ostrov nad Oslavou	Žďár nad Sázavou	zdar-nad-sazavou/ostrov-nad-oslavou
Ořech	Praha-západ	praha-zapad/orech
Bezděkov	Klatovy	klatovy/bezdekov
Radostín nad Oslavou	Žďár nad Sázavou	zdar-nad-sazavou/radostin-nad-oslavou
Tísek	Nový Jičín	novy-jicin/tisek
Ostřetín	Pardubice	pardubice/ostretin
Horní Štěpánov	Prostějov	prostejov/horni-stepanov
Neplachovice	Opava	opava/neplachovice
Malá Hraštice	Příbram	pribram/mala-hrastice
Přílepy	Kroměříž	kromeriz/prilepy
Rozdrojovice	Brno-venkov	brno-venkov/rozdrojovice
Tlustice	Beroun	beroun/tlustice
Veverské Knínice	Brno-venkov	brno-venkov/veverske-kninice
Jasenná	Zlín	zlin/jasenna
Sopotnice	Ústí nad Orlicí	usti-nad-orlici/sopotnice
Prštice	Brno-venkov	brno-venkov/prstice
Krhanice	Benešov	benesov/krhanice
Jílovice	České Budějovice	ceske-budejovice/jilovice
Světlá pod Ještědem	Liberec	liberec/svetla-pod-jestedem
Oleška	Praha-východ	praha-vychod/oleska
Tři Dvory	Kolín	kolin/tri-dvory
Jankov	Benešov	benesov/jankov
Březno	Mladá Boleslav	mlada-boleslav/brezno
Český Rudolec	Jindřichův Hradec	jindrichuv-hradec/cesky-rudolec
Tisá	Ústí nad Labem	usti-nad-labem/tisa
Nekoř	Ústí nad Orlicí	usti-nad-orlici/nekor
Úžice	Mělník	melnik/uzice
Rudice	Blansko	blansko/rudice
Hodějice	Vyškov	vyskov/hodejice
Horní Město	Bruntál	bruntal/horni-mesto
Růžďka	Vsetín	vsetin/ruzdka
Újezdeček	Teplice	teplice/ujezdecek
Pražmo	Frýdek-Místek	frydek-mistek/prazmo
Prace	Brno-venkov	brno-venkov/prace
Brumovice	Břeclav	breclav/brumovice
Želeč	Tábor	tabor/zelec
Bílý Kostel nad Nisou	Liberec	liberec/bily-kostel-nad-nisou
Babice	Praha-východ	praha-vychod/babice
Vysoké Veselí	Jičín	jicin/vysoke-veseli
Kosoř	Praha-západ	praha-zapad/kosor
Vilémov	Děčín	decin/vilemov
Bezno	Mladá Boleslav	mlada-boleslav/bezno
Drmoul	Cheb	cheb/drmoul
Pitín	Uherské Hradiště	uherske-hradiste/pitin
Potštejn	Rychnov nad Kněžnou	rychnov-nad-kneznou/potstejn
Dřísy	Praha-východ	praha-vychod/drisy
Pňovice	Olomouc	olomouc/pnovice
Tvarožná Lhota	Hodonín	hodonin/tvarozna-lhota
Broumy	Beroun	beroun/broumy
Záryby	Praha-východ	praha-vychod/zaryby
Pstruží	Frýdek-Místek	frydek-mistek/pstruzi
Trhová Kamenice	Chrudim	chrudim/trhova-kamenice
Kostelec	Jihlava	jihlava/kostelec
Hrádek	Znojmo	znojmo/hradek
Rynholec	Rakovník	rakovnik/rynholec
Citice	Sokolov	sokolov/citice
Holohlavy	Hradec Králové	hradec-kralove/holohlavy
Bobrová	Žďár nad Sázavou	zdar-nad-sazavou/bobrova
Čejetice	Strakonice	strakonice/cejetice
Vrhaveč	Klatovy	klatovy/vrhavec
Bezdružice	Tachov	tachov/bezdruzice
Postřižín	Mělník	melnik/postrizin
Bravantice	Nový Jičín	novy-jicin/bravantice
Konstantinovy Lázně	Tachov	tachov/konstantinovy-lazne
Jeníkov	Teplice	teplice/jenikov
Neslovice	Brno-venkov	brno-venkov/neslovice
Starý Hrozenkov	Uherské Hradiště	uherske-hradiste/stary-hrozenkov
Strahovice	Opava	opava/strahovice
Krajková	Sokolov	sokolov/krajkova
Březová-Oleško	Praha-západ	praha-zapad/brezova-olesko
Bernartice	Jeseník	jesenik/bernartice
Kašava	Zlín	zlin/kasava
Horní Beřkovice	Litoměřice	litomerice/horni-berkovice
Březina (dříve okres Blansko)	Brno-venkov	brno-venkov/brezina-(drive-okres-blansko)
Třebařov	Svitavy	svitavy/trebarov
Bílá	Liberec	liberec/bila
Přepeře	Semily	semily/prepere
Hlásná Třebaň	Beroun	beroun/hlasna-treban
Klášter Hradiště nad Jizerou	Mladá Boleslav	mlada-boleslav/klaster-hradiste-nad-jizerou
Jenišov	Karlovy Vary	karlovy-vary/jenisov
Čestice	Strakonice	strakonice/cestice
Kyšice	Plzeň-město	plzen-mesto/kysice
Josefův Důl	Jablonec nad Nisou	jablonec-nad-nisou/josefuv-dul
Petrovice	Ústí nad Labem	usti-nad-labem/petrovice
Těmice	Hodonín	hodonin/temice
Břest	Kroměříž	kromeriz/brest
Bratronice	Kladno	kladno/bratronice
Chrustenice	Beroun	beroun/chrustenice
Kamýk nad Vltavou	Příbram	pribram/kamyk-nad-vltavou
Řenče	Plzeň-jih	plzen-jih/rence
Ludvíkovice	Děčín	decin/ludvikovice
Tři Sekery	Cheb	cheb/tri-sekery
Zásada	Jablonec nad Nisou	jablonec-nad-nisou/zasada
Dolní Město	Havlíčkův Brod	havlickuv-brod/dolni-mesto
Litultovice	Opava	opava/litultovice
Neurazy	Plzeň-jih	plzen-jih/neurazy
Dolní Kralovice	Benešov	benesov/dolni-kralovice
Vraňany	Mělník	melnik/vranany
Boleradice	Břeclav	breclav/boleradice
Staňkovice	Louny	louny/stankovice
Kotvrdovice	Blansko	blansko/kotvrdovice
Rebešovice	Brno-venkov	brno-venkov/rebesovice
Tymákov	Plzeň-město	plzen-mesto/tymakov
Kropáčova Vrutice	Mladá Boleslav	mlada-boleslav/kropacova-vrutice
Tachlovice	Praha-západ	praha-zapad/tachlovice
Opolany	Nymburk	nymburk/opolany
Staré Město	Bruntál	bruntal/stare-mesto
Sobětuchy	Chrudim	chrudim/sobetuchy
Spálov	Nový Jičín	novy-jicin/spalov
Mšec	Rakovník	rakovnik/msec
Třemešná	Bruntál	bruntal/tremesna
Čistá	Rakovník	rakovnik/cista
Krabčice	Litoměřice	litomerice/krabcice
Třebívlice	Litoměřice	litomerice/trebivlice
Kostelec	Hodonín	hodonin/kostelec
Dolní Lukavice	Plzeň-jih	plzen-jih/dolni-lukavice
Klášterec nad Orlicí	Ústí nad Orlicí	usti-nad-orlici/klasterec-nad-orlici
Sobůlky	Hodonín	hodonin/sobulky
Starovice	Břeclav	breclav/starovice
Střelské Hoštice	Strakonice	strakonice/strelske-hostice
Miletín	Jičín	jicin/miletin
Knínice u Boskovic	Blansko	blansko/kninice-u-boskovic
Vědomice	Litoměřice	litomerice/vedomice
Chudčice	Brno-venkov	brno-venkov/chudcice
Brodek u Konice	Prostějov	prostejov/brodek-u-konice
Soběšovice	Frýdek-Místek	frydek-mistek/sobesovice
Libčany	Hradec Králové	hradec-kralove/libcany
Svratouch	Chrudim	chrudim/svratouch
Chornice	Svitavy	svitavy/chornice
Výčapy	Třebíč	trebic/vycapy
Žinkovy	Plzeň-jih	plzen-jih/zinkovy
Lukavice	Chrudim	chrudim/lukavice
Brankovice	Vyškov	vyskov/brankovice
Bobnice	Nymburk	nymburk/bobnice
Dolany	Klatovy	klatovy/dolany
Rokytnice nad Rokytnou	Třebíč	trebic/rokytnice-nad-rokytnou
Osová Bítýška	Žďár nad Sázavou	zdar-nad-sazavou/osova-bityska
Jiřice	Pelhřimov	pelhrimov/jirice
Kostomlaty pod Milešovkou	Teplice	teplice/kostomlaty-pod-milesovkou
Charváty	Olomouc	olomouc/charvaty
Archlebov	Hodonín	hodonin/archlebov
Dolní Lomná	Frýdek-Místek	frydek-mistek/dolni-lomna
Čachovice	Mladá Boleslav	mlada-boleslav/cachovice
Chotětov	Mladá Boleslav	mlada-boleslav/chotetov
Lukavice	Šumperk	sumperk/lukavice
Bulovka	Liberec	liberec/bulovka
Kanice	Brno-venkov	brno-venkov/kanice
Dymokury	Nymburk	nymburk/dymokury
Dolní Hbity	Příbram	pribram/dolni-hbity
Malšovice	Děčín	decin/malsovice
Dobromilice	Prostějov	prostejov/dobromilice
Břežany	Znojmo	znojmo/brezany
Moravské Knínice	Brno-venkov	brno-venkov/moravske-kninice
Podolí	Uherské Hradiště	uherske-hradiste/podoli
Temelín	České Budějovice	ceske-budejovice/temelin
Rokytno	Pardubice	pardubice/rokytno
Mrákotín	Jihlava	jihlava/mrakotin
Velhartice	Klatovy	klatovy/velhartice
Veselíčko	Přerov	prerov/veselicko
Praskolesy	Beroun	beroun/praskolesy
Vysoká	Mělník	melnik/vysoka
Šebetov	Blansko	blansko/sebetov
Jiříkovice	Brno-venkov	brno-venkov/jirikovice
Zvoleněves	Kladno	kladno/zvoleneves
Dražovice	Vyškov	vyskov/drazovice
Česká Kubice	Domažlice	domazlice/ceska-kubice
Strážek	Žďár nad Sázavou	zdar-nad-sazavou/strazek
Lačnov	Vsetín	vsetin/lacnov
Hrabětice	Znojmo	znojmo/hrabetice
Svojetice	Praha-východ	praha-vychod/svojetice
Všechovice	Přerov	prerov/vsechovice
Tuklaty	Kolín	kolin/tuklaty
Tetín	Beroun	beroun/tetin
Benešov u Semil	Semily	semily/benesov-u-semil
Pačlavice	Kroměříž	kromeriz/paclavice
Trnová	Plzeň-sever	plzen-sever/trnova
Libice nad Doubravou	Havlíčkův Brod	havlickuv-brod/libice-nad-doubravou
Dolní Ředice	Pardubice	pardubice/dolni-redice
Hnátnice	Ústí nad Orlicí	usti-nad-orlici/hnatnice
Sedlec	Břeclav	breclav/sedlec
Bohdalice-Pavlovice	Vyškov	vyskov/bohdalice-pavlovice
Stráž nad Nežárkou	Jindřichův Hradec	jindrichuv-hradec/straz-nad-nezarkou
Kožušany-Tážaly	Olomouc	olomouc/kozusany-tazaly
Dyjákovice	Znojmo	znojmo/dyjakovice
Prosenice	Přerov	prerov/prosenice
Miličín	Benešov	benesov/milicin
Dolany	Mělník	melnik/dolany
Zvole	Šumperk	sumperk/zvole
Chrášťany	Praha-západ	praha-zapad/chrastany
Střítež nad Bečvou	Vsetín	vsetin/stritez-nad-becvou
Tatenice	Ústí nad Orlicí	usti-nad-orlici/tatenice
Nové Dvory	Kutná Hora	kutna-hora/nove-dvory
Jimlín	Louny	louny/jimlin
Osvětimany	Uherské Hradiště	uherske-hradiste/osvetimany
Pohořelice	Zlín	zlin/pohorelice
Vysoký Chlumec	Příbram	pribram/vysoky-chlumec
Besednice	Český Krumlov	cesky-krumlov/besednice
Frýdštejn	Jablonec nad Nisou	jablonec-nad-nisou/frydstejn
Slatina nad Zdobnicí	Rychnov nad Kněžnou	rychnov-nad-kneznou/slatina-nad-zdobnici
Vavřinec	Blansko	blansko/vavrinec
Starovičky	Břeclav	breclav/starovicky
Hrabišín	Šumperk	sumperk/hrabisin
Třebestovice	Nymburk	nymburk/trebestovice
Hořice na Šumavě	Český Krumlov	cesky-krumlov/horice-na-sumave
Bžany	Teplice	teplice/bzany
Dobré	Rychnov nad Kněžnou	rychnov-nad-kneznou/dobre
Násedlovice	Hodonín	hodonin/nasedlovice
Nová Říše	Jihlava	jihlava/nova-rise
Těškovice	Opava	opava/teskovice
Cerekvice nad Loučnou	Svitavy	svitavy/cerekvice-nad-loucnou
Přísnotice	Brno-venkov	brno-venkov/prisnotice
Vysoké Pole	Zlín	zlin/vysoke-pole
Konárovice	Kolín	kolin/konarovice
Štěkeň	Strakonice	strakonice/steken
Vyskytná nad Jihlavou	Jihlava	jihlava/vyskytna-nad-jihlavou
Vyšní Lhoty	Frýdek-Místek	frydek-mistek/vysni-lhoty
Hostěrádky-Rešov	Vyškov	vyskov/hosteradky-resov
Kostelní Lhota	Nymburk	nymburk/kostelni-lhota
Velké Chvojno	Ústí nad Labem	usti-nad-labem/velke-chvojno
Strupčice	Chomutov	chomutov/strupcice
Lhota	Zlín	zlin/lhota
Vlasatice	Brno-venkov	brno-venkov/vlasatice
Dukovany	Třebíč	trebic/dukovany
Vranov nad Dyjí	Znojmo	znojmo/vranov-nad-dyji
Královské Poříčí	Sokolov	sokolov/kralovske-porici
Týn nad Bečvou	Přerov	prerov/tyn-nad-becvou
Svatý Mikuláš	Kutná Hora	kutna-hora/svaty-mikulas
Běrunice	Nymburk	nymburk/berunice
Obrataň	Pelhřimov	pelhrimov/obratan
Albrechtice nad Vltavou	Písek	pisek/albrechtice-nad-vltavou
Radějov	Hodonín	hodonin/radejov
Dobev	Písek	pisek/dobev
Jestřebí	Česká Lípa	ceska-lipa/jestrebi
Vedrovice	Znojmo	znojmo/vedrovice
Vražné	Nový Jičín	novy-jicin/vrazne
Černá v Pošumaví	Český Krumlov	cesky-krumlov/cerna-v-posumavi
Rybník	Ústí nad Orlicí	usti-nad-orlici/rybnik
Dlouhá Ves	Klatovy	klatovy/dlouha-ves
Horní Němčí	Uherské Hradiště	uherske-hradiste/horni-nemci
Luleč	Vyškov	vyskov/lulec
Střítež nad Ludinou	Přerov	prerov/stritez-nad-ludinou
Římov	České Budějovice	ceske-budejovice/rimov
Kolešovice	Rakovník	rakovnik/kolesovice
Kovanice	Nymburk	nymburk/kovanice
Radonice	Praha-východ	praha-vychod/radonice
Dolní Hořice	Tábor	tabor/dolni-horice
Věž	Havlíčkův Brod	havlickuv-brod/vez
Bruzovice	Frýdek-Místek	frydek-mistek/bruzovice
Boršice u Blatnice	Uherské Hradiště	uherske-hradiste/borsice-u-blatnice
Hosín	České Budějovice	ceske-budejovice/hosin
Křižany	Liberec	liberec/krizany
Práče	Znojmo	znojmo/prace
Záboří nad Labem	Kutná Hora	kutna-hora/zabori-nad-labem
Sulejovice	Litoměřice	litomerice/sulejovice
Klenovice na Hané	Prostějov	prostejov/klenovice-na-hane
Služovice	Opava	opava/sluzovice
Luká	Olomouc	olomouc/luka
Hlušovice	Olomouc	olomouc/hlusovice
Nová Hradečná	Olomouc	olomouc/nova-hradecna
Dlouhý Most	Liberec	liberec/dlouhy-most
Jarcová	Vsetín	vsetin/jarcova
Dnešice	Plzeň-jih	plzen-jih/dnesice
Korouhev	Svitavy	svitavy/korouhev
Veselá	Zlín	zlin/vesela
Štěpánovice	České Budějovice	ceske-budejovice/stepanovice
Staré Sedlo	Sokolov	sokolov/stare-sedlo
Přibyslavice	Třebíč	trebic/pribyslavice
Všeruby	Domažlice	domazlice/vseruby
Nová Ves	Liberec	liberec/nova-ves
Běšiny	Klatovy	klatovy/besiny
Žilina	Kladno	kladno/zilina
Hluboké Mašůvky	Znojmo	znojmo/hluboke-masuvky
Záhoří	Písek	pisek/zahori
Zápy	Praha-východ	praha-vychod/zapy
Katusice	Mladá Boleslav	mlada-boleslav/katusice
Racková	Zlín	zlin/rackova
Habrovany	Vyškov	vyskov/habrovany
Doubravník	Brno-venkov	brno-venkov/doubravnik
Cerekvice nad Bystřicí	Jičín	jicin/cerekvice-nad-bystrici
Břestek	Uherské Hradiště	uherske-hradiste/brestek
Kyjovice	Opava	opava/kyjovice
Tehov	Praha-východ	praha-vychod/tehov
Slapy	Praha-západ	praha-zapad/slapy
Křtiny	Blansko	blansko/krtiny
Silůvky	Brno-venkov	brno-venkov/siluvky
Nedachlebice	Uherské Hradiště	uherske-hradiste/nedachlebice
Struhařov	Benešov	benesov/struharov
Strachotín	Břeclav	breclav/strachotin
Opatovice	Přerov	prerov/opatovice
Rtyně nad Bílinou	Teplice	teplice/rtyne-nad-bilinou
Dražice	Tábor	tabor/drazice
Kravaře	Česká Lípa	ceska-lipa/kravare
Horní Lhota	Ostrava-město	ostrava-mesto/horni-lhota
Otvovice	Kladno	kladno/otvovice
Hvožďany	Příbram	pribram/hvozdany
Rosovice	Příbram	pribram/rosovice
Blatnice	Plzeň-sever	plzen-sever/blatnice
Šlapanov	Havlíčkův Brod	havlickuv-brod/slapanov
Šebrov-Kateřina	Blansko	blansko/sebrov-katerina
Lovčice	Hodonín	hodonin/lovcice
Bory	Žďár nad Sázavou	zdar-nad-sazavou/bory
Karlštejn	Beroun	beroun/karlstejn
Kyselka	Karlovy Vary	karlovy-vary/kyselka
Nikolčice	Břeclav	breclav/nikolcice
Polnička	Žďár nad Sázavou	zdar-nad-sazavou/polnicka
Poteč	Zlín	zlin/potec
Prosetín	Chrudim	chrudim/prosetin
Nový Hrádek	Náchod	nachod/novy-hradek
Hořín	Mělník	melnik/horin
Mutějovice	Rakovník	rakovnik/mutejovice
Kožlí	Havlíčkův Brod	havlickuv-brod/kozli
Borkovany	Břeclav	breclav/borkovany
Přítluky	Břeclav	breclav/pritluky
Prosiměřice	Znojmo	znojmo/prosimerice
Krakovany	Kolín	kolin/krakovany
Předboj	Praha-východ	praha-vychod/predboj
Olešník	České Budějovice	ceske-budejovice/olesnik
Třebovice	Ústí nad Orlicí	usti-nad-orlici/trebovice
Zadní Třebaň	Beroun	beroun/zadni-treban
Kameničky	Chrudim	chrudim/kamenicky
Žatčany	Brno-venkov	brno-venkov/zatcany
Ledce	Plzeň-sever	plzen-sever/ledce
Malečov	Ústí nad Labem	usti-nad-labem/malecov
Dolní Radechová	Náchod	nachod/dolni-radechova
Ovčáry	Kolín	kolin/ovcary
Plzeň 9-Malesice	Plzeň-město	plzen-mesto/plzen-9-malesice
Hrubčice	Prostějov	prostejov/hrubcice
Dlouhoňovice	Ústí nad Orlicí	usti-nad-orlici/dlouhonovice
Omice	Brno-venkov	brno-venkov/omice
Nečín	Příbram	pribram/necin
Huntířov	Děčín	decin/huntirov
Mořina	Beroun	beroun/morina
Nový Oldřichov	Česká Lípa	ceska-lipa/novy-oldrichov
Bystřice pod Lopeníkem	Uherské Hradiště	uherske-hradiste/bystrice-pod-lopenikem
Rovensko	Šumperk	sumperk/rovensko
Vysočany	Blansko	blansko/vysocany
Rožná	Žďár nad Sázavou	zdar-nad-sazavou/rozna
Pačejov	Klatovy	klatovy/pacejov
Puklice	Jihlava	jihlava/puklice
Mrač	Benešov	benesov/mrac
Lípa	Zlín	zlin/lipa
Provodov	Zlín	zlin/provodov
Všestary	Praha-východ	praha-vychod/vsestary
Orel	Chrudim	chrudim/orel
Bohuslavice u Zlína	Zlín	zlin/bohuslavice-u-zlina
Rynoltice	Liberec	liberec/rynoltice
Droužkovice	Chomutov	chomutov/drouzkovice
Velká Kraš	Jeseník	jesenik/velka-kras
Libuň	Jičín	jicin/libun
Černotín	Přerov	prerov/cernotin
Pohled	Havlíčkův Brod	havlickuv-brod/pohled
Bulhary	Břeclav	breclav/bulhary
Hrušky	Vyškov	vyskov/hrusky
Kácov	Kutná Hora	kutna-hora/kacov
Nová Ves	Brno-venkov	brno-venkov/nova-ves
Vojnův Městec	Žďár nad Sázavou	zdar-nad-sazavou/vojnuv-mestec
Loučka	Vsetín	vsetin/loucka
Olešnice	České Budějovice	ceske-budejovice/olesnice
Horní Podluží	Děčín	decin/horni-podluzi
Vraclav	Ústí nad Orlicí	usti-nad-orlici/vraclav
Bratřejov	Zlín	zlin/bratrejov
Tučapy	Tábor	tabor/tucapy
Bohutín	Šumperk	sumperk/bohutin
Vojkovice	Mělník	melnik/vojkovice
Lenora	Prachatice	prachatice/lenora
Kozojedy	Praha-východ	praha-vychod/kozojedy
