label	zastKey	okrKey	okres
Březina	brezina	jindrichuv-hradec	Jindřichův Hradec
Ratiboř	ratibor	jindrichuv-hradec	Jindřichův Hradec
Litultovice	litultovice	opava	Opava
Ludgeřovice	ludgerovice	opava	Opava
Roseč	rosec	jindrichuv-hradec	Jindřichův Hradec
Markvartovice	markvartovice	opava	Opava
Melč	melc	opava	Opava
Střížovice	strizovice	jindrichuv-hradec	Jindřichův Hradec
Kostelní Vydří	kostelni-vydri	jindrichuv-hradec	Jindřichův Hradec
Mokré Lazce	mokre-lazce	opava	Opava
Lužnice	luznice	jindrichuv-hradec	Jindřichův Hradec
Záblatí	zablati	jindrichuv-hradec	Jindřichův Hradec
Plavsko	plavsko	jindrichuv-hradec	Jindřichův Hradec
Kostelní Radouň	kostelni-radoun	jindrichuv-hradec	Jindřichův Hradec
Červený Hrádek	cerveny-hradek	jindrichuv-hradec	Jindřichův Hradec
Dvory nad Lužnicí	dvory-nad-luznici	jindrichuv-hradec	Jindřichův Hradec
Cep	cep	jindrichuv-hradec	Jindřichův Hradec
Arneštovice	arnestovice	pelhrimov	Pelhřimov
Bořetín	boretin	pelhrimov	Pelhřimov
Oldřišov	oldrisov	opava	Opava
Otice	otice	opava	Opava
Předotice	predotice	pisek	Písek
Píšť	pist	opava	Opava
Pustá Polom	pusta-polom	opava	Opava
Křižanov	krizanov	pisek	Písek
Raduň	radun	opava	Opava
Čečelovice	cecelovice	strakonice	Strakonice
Skřipov	skripov	opava	Opava
Slavkov	slavkov	opava	Opava
Služovice	sluzovice	opava	Opava
Stěbořice	steborice	opava	Opava
Sudice	sudice	opava	Opava
Šilheřovice	silherovice	opava	Opava
Štěpánkovice	stepankovice	opava	Opava
Štítina	stitina	opava	Opava
Láz	laz	trebic	Třebíč
Kojatín	kojatin	trebic	Třebíč
Velká Polom	velka-polom	ostrava-mesto	Ostrava-město
Velké Heraltice	velke-heraltice	opava	Opava
Velké Hoštice	velke-hostice	opava	Opava
Ocmanice	ocmanice	trebic	Třebíč
Vítkov	vitkov	opava	Opava
Sedlec	sedlec	trebic	Třebíč
Vršovice	vrsovice	opava	Opava
Vícenice u Náměště nad Oslavou	vicenice-u-nameste-nad-oslavou	trebic	Třebíč
Rácovice	racovice	trebic	Třebíč
Přerov	prerov	prerov	Přerov
Oslavička	oslavicka	zdar-nad-sazavou	Žďár nad Sázavou
Josefov	josefov	sokolov	Sokolov
Bocanovice	bocanovice	frydek-mistek	Frýdek-Místek
Bukovec	bukovec	frydek-mistek	Frýdek-Místek
Dolní Lomná	dolni-lomna	frydek-mistek	Frýdek-Místek
Horní Lomná	horni-lomna	frydek-mistek	Frýdek-Místek
Písek	pisek	frydek-mistek	Frýdek-Místek
Hrádek	hradek	frydek-mistek	Frýdek-Místek
Metylovice	metylovice	frydek-mistek	Frýdek-Místek
Horní Domaslavice	horni-domaslavice	frydek-mistek	Frýdek-Místek
Bělotín	belotin	prerov	Přerov
Beňov	benov	prerov	Přerov
Bezuchov	bezuchov	prerov	Přerov
Bochoř	bochor	prerov	Přerov
Těškovice	teskovice	opava	Opava
Brodek u Přerova	brodek-u-prerova	prerov	Přerov
Buk	buk	prerov	Přerov
Strahovice	strahovice	opava	Opava
Býškovice	byskovice	prerov	Přerov
Nové Lublice	nove-lublice	opava	Opava
Kyjovice	kyjovice	opava	Opava
Chlebičov	chlebicov	opava	Opava
Bělá	bela	opava	Opava
Citov	citov	prerov	Přerov
Drnek	drnek	kladno	Kladno
Kamenný Most	kamenny-most	kladno	Kladno
Lhota	lhota	kladno	Kladno
Čelechovice	celechovice	prerov	Přerov
Černotín	cernotin	prerov	Přerov
Hobšovice	hobsovice	kladno	Kladno
Dobrčice	dobrcice	prerov	Přerov
Malé Přítočno	male-pritocno	kladno	Kladno
Dolany	dolany	kladno	Kladno
Polní Voděrady	polni-voderady	kolin	Kolín
Ždánice	zdanice	kolin	Kolín
Dománovice	domanovice	kolin	Kolín
Dolní Újezd	dolni-ujezd	prerov	Přerov
Zalešany	zalesany	kolin	Kolín
Domaželice	domazelice	prerov	Přerov
Dřevohostice	drevohostice	prerov	Přerov
Polní Chrčice	polni-chrcice	kolin	Kolín
Žabonosy	zabonosy	kolin	Kolín
Lipec	lipec	kolin	Kolín
Mrzky	mrzky	kolin	Kolín
Přehvozdí	prehvozdi	kolin	Kolín
Přistoupim	pristoupim	kolin	Kolín
Kbel	kbel	kolin	Kolín
Pašinka	pasinka	kolin	Kolín
Chýnice	chynice	praha-zapad	Praha-západ
Vestec	vestec	praha-zapad	Praha-západ
Vysoký Újezd	vysoky-ujezd	benesov	Benešov
Horní Moštěnice	horni-mostenice	prerov	Přerov
Dlouhá Lhota	dlouha-lhota	pribram	Příbram
Zduchovice	zduchovice	pribram	Příbram
Lešetice	lesetice	pribram	Příbram
Velká Lečice	velka-lecice	pribram	Příbram
Příčovy	pricovy	pribram	Příbram
Kotenčice	kotencice	pribram	Příbram
Občov	obcov	pribram	Příbram
Hudčice	hudcice	pribram	Příbram
Klokočná	klokocna	praha-vychod	Praha-východ
Hrabůvka	hrabuvka	prerov	Přerov
Zlatá	zlata	praha-vychod	Praha-východ
Nová Ves	nova-ves	cesky-krumlov	Český Krumlov
Horní Smržov	horni-smrzov	blansko	Blansko
Roubanina	roubanina	blansko	Blansko
Urbanice	urbanice	hradec-kralove	Hradec Králové
Hradčany	hradcany	prerov	Přerov
Hranice	hranice	prerov	Přerov
Hustopeče nad Bečvou	hustopece-nad-becvou	prerov	Přerov
Jindřichov	jindrichov	prerov	Přerov
Skalka u Doks	skalka-u-doks	ceska-lipa	Česká Lípa
Klokočí	klokoci	prerov	Přerov
Kojetín	kojetin	prerov	Přerov
Kokory	kokory	prerov	Přerov
Luka	luka	ceska-lipa	Česká Lípa
Ždírec	zdirec	ceska-lipa	Česká Lípa
Pertoltice pod Ralskem	pertoltice-pod-ralskem	ceska-lipa	Česká Lípa
Lazníčky	laznicky	prerov	Přerov
Lazníky	lazniky	prerov	Přerov
Lhota	lhota	prerov	Přerov
Lhotka	lhotka	prerov	Přerov
Lipník nad Bečvou	lipnik-nad-becvou	prerov	Přerov
Lipová	lipova	prerov	Přerov
Líšná	lisna	prerov	Přerov
Lobodice	lobodice	prerov	Přerov
Malhotice	malhotice	prerov	Přerov
Milenov	milenov	prerov	Přerov
Milotice nad Bečvou	milotice-nad-becvou	prerov	Přerov
Nelešovice	nelesovice	prerov	Přerov
Oldřichov	oldrichov	prerov	Přerov
Opatovice	opatovice	prerov	Přerov
Oprostovice	oprostovice	prerov	Přerov
Osek nad Bečvou	osek-nad-becvou	prerov	Přerov
Paršovice	parsovice	prerov	Přerov
Partutovice	partutovice	prerov	Přerov
Pavlovice u Přerova	pavlovice-u-prerova	prerov	Přerov
Podolí	podoli	prerov	Přerov
Polkovice	polkovice	prerov	Přerov
Polom	polom	prerov	Přerov
Potštát	potstat	prerov	Přerov
Prosenice	prosenice	prerov	Přerov
Provodovice	provodovice	prerov	Přerov
Přestavlky	prestavlky	prerov	Přerov
Radíkov	radikov	prerov	Přerov
Radkova Lhota	radkova-lhota	prerov	Přerov
Radkovy	radkovy	prerov	Přerov
Radotín	radotin	prerov	Přerov
Radslavice	radslavice	prerov	Přerov
Radvanice	radvanice	prerov	Přerov
Rakov	rakov	prerov	Přerov
Rokytnice	rokytnice	prerov	Přerov
Rouské	rouske	prerov	Přerov
Říkovice	rikovice	prerov	Přerov
Skalička	skalicka	prerov	Přerov
Sobíšky	sobisky	prerov	Přerov
Soběchleby	sobechleby	prerov	Přerov
Stará Ves	stara-ves	prerov	Přerov
Střítež nad Ludinou	stritez-nad-ludinou	prerov	Přerov
Sušice	susice	prerov	Přerov
Teplice nad Bečvou	teplice-nad-becvou	prerov	Přerov
Tovačov	tovacov	prerov	Přerov
Troubky	troubky	prerov	Přerov
Tučín	tucin	prerov	Přerov
Ústí	usti	prerov	Přerov
Veselíčko	veselicko	prerov	Přerov
Všechovice	vsechovice	prerov	Přerov
Zámrsky	zamrsky	prerov	Přerov
Žákovice	zakovice	prerov	Přerov
Želatovice	zelatovice	prerov	Přerov
Šumperk	sumperk	sumperk	Šumperk
Bělá pod Pradědem	bela-pod-pradedem	jesenik	Jeseník
Bernartice	bernartice	jesenik	Jeseník
Bílá Voda	bila-voda	jesenik	Jeseník
Bludov	bludov	sumperk	Šumperk
Bohdíkov	bohdikov	sumperk	Šumperk
Bohuslavice	bohuslavice	sumperk	Šumperk
Bohutín	bohutin	sumperk	Šumperk
Branná	branna	sumperk	Šumperk
Rohozec	rohozec	kutna-hora	Kutná Hora
Podveky	podveky	kutna-hora	Kutná Hora
Benešov	benesov	benesov	Benešov
Bystřice	bystrice	benesov	Benešov
Čakov	cakov	benesov	Benešov
Čechtice	cechtice	benesov	Benešov
Čerčany	cercany	benesov	Benešov
Čejkovice	cejkovice	kutna-hora	Kutná Hora
Červený Újezd	cerveny-ujezd	benesov	Benešov
Český Šternberk	cesky-sternberk	benesov	Benešov
Dobrovítov	dobrovitov	kutna-hora	Kutná Hora
Čtyřkoly	ctyrkoly	benesov	Benešov
Medonosy	medonosy	melnik	Mělník
Tupadly	tupadly	melnik	Mělník
Sedlec	sedlec	mlada-boleslav	Mladá Boleslav
Rokytá	rokyta	mlada-boleslav	Mladá Boleslav
Josefův Důl	josefuv-dul	mlada-boleslav	Mladá Boleslav
Divišov	divisov	benesov	Benešov
Kostomlátky	kostomlatky	nymburk	Nymburk
Dolní Kralovice	dolni-kralovice	benesov	Benešov
Pětihosty	petihosty	praha-vychod	Praha-východ
Těchařovice	techarovice	pribram	Příbram
Bezděkov pod Třemšínem	bezdekov-pod-tremsinem	pribram	Příbram
Koupě	koupe	pribram	Příbram
Velká Chmelištná	velka-chmelistna	rakovnik	Rakovník
Heřmaničky	hermanicky	benesov	Benešov
Drahouš	drahous	rakovnik	Rakovník
Kvítkovice	kvitkovice	ceske-budejovice	České Budějovice
Hulice	hulice	benesov	Benešov
Hvězdonice	hvezdonice	benesov	Benešov
Dívčí Kopy	divci-kopy	jindrichuv-hradec	Jindřichův Hradec
Žďár	zdar	jindrichuv-hradec	Jindřichův Hradec
Chlum	chlum	benesov	Benešov
Chmelná	chmelna	benesov	Benešov
Chocerady	chocerady	benesov	Benešov
Chotýšany	chotysany	benesov	Benešov
Čelistná	celistna	pelhrimov	Pelhřimov
Mezná	mezna	pelhrimov	Pelhřimov
Jankov	jankov	benesov	Benešov
Javorník	javornik	benesov	Benešov
Důl	dul	pelhrimov	Pelhřimov
Okrouhlá	okrouhla	pisek	Písek
Stehlovice	stehlovice	pisek	Písek
Nicov	nicov	prachatice	Prachatice
Keblov	keblov	benesov	Benešov
Vrbice	vrbice	prachatice	Prachatice
Žárovná	zarovna	prachatice	Prachatice
Kondrac	kondrac	benesov	Benešov
Kozmice	kozmice	benesov	Benešov
Krhanice	krhanice	benesov	Benešov
Buzice	buzice	strakonice	Strakonice
Krňany	krnany	benesov	Benešov
Chlum	chlum	strakonice	Strakonice
Křečovice	krecovice	benesov	Benešov
Křivsoudov	krivsoudov	benesov	Benešov
Březí	brezi	strakonice	Strakonice
Kuňovice	kunovice	benesov	Benešov
Stožice	stozice	strakonice	Strakonice
Katov	katov	tabor	Tábor
Lešany	lesany	benesov	Benešov
Libež	libez	benesov	Benešov
Bukovník	bukovnik	klatovy	Klatovy
Loket	loket	benesov	Benešov
Louňovice pod Blaníkem	lounovice-pod-blanikem	benesov	Benešov
Maršovice	marsovice	benesov	Benešov
Dobršín	dobrsin	klatovy	Klatovy
Přestavlky	prestavlky	plzen-jih	Plzeň-jih
Milínov	milinov	plzen-jih	Plzeň-jih
Mezno	mezno	benesov	Benešov
Miličín	milicin	benesov	Benešov
Miřetice	miretice	benesov	Benešov
Žákava	zakava	plzen-jih	Plzeň-jih
Mnichovice	mnichovice	benesov	Benešov
Mrač	mrac	benesov	Benešov
Načeradec	naceradec	benesov	Benešov
Hněvnice	hnevnice	plzen-sever	Plzeň-sever
Bílov	bilov	plzen-sever	Plzeň-sever
Potvorov	potvorov	plzen-sever	Plzeň-sever
Nespeky	nespeky	benesov	Benešov
Sedlec	sedlec	plzen-sever	Plzeň-sever
Vysoká Libyně	vysoka-libyne	plzen-sever	Plzeň-sever
Netvořice	netvorice	benesov	Benešov
Neustupov	neustupov	benesov	Benešov
Neveklov	neveklov	benesov	Benešov
Čerňovice	cernovice	plzen-sever	Plzeň-sever
Pláně	plane	plzen-sever	Plzeň-sever
Olbramovice	olbramovice	benesov	Benešov
Ostředek	ostredek	benesov	Benešov
Kařízek	karizek	rokycany	Rokycany
Drahoňův Újezd	drahonuv-ujezd	rokycany	Rokycany
Radvanec	radvanec	ceska-lipa	Česká Lípa
Janská	janska	decin	Děčín
Petroupim	petroupim	benesov	Benešov
Doubice	doubice	decin	Děčín
Dalešice	dalesice	jablonec-nad-nisou	Jablonec nad Nisou
Kunratice	kunratice	liberec	Liberec
Poříčí nad Sázavou	porici-nad-sazavou	benesov	Benešov
Postupice	postupice	benesov	Benešov
Dlouhý Most	dlouhy-most	liberec	Liberec
Pravonín	pravonin	benesov	Benešov
Jeřmanice	jermanice	liberec	Liberec
Přestavlky u Čerčan	prestavlky-u-cercan	benesov	Benešov
Miřejovice	mirejovice	litomerice	Litoměřice
Psáře	psare	benesov	Benešov
Rabyně	rabyne	benesov	Benešov
Radošovice	radosovice	benesov	Benešov
Rataje	rataje	benesov	Benešov
Kozly	kozly	louny	Louny
Želkovice	zelkovice	louny	Louny
Sedlec-Prčice	sedlec-prcice	pribram	Příbram
Čeradice	ceradice	louny	Louny
Libočany	libocany	louny	Louny
Zálužice	zaluzice	louny	Louny
Smilkov	smilkov	benesov	Benešov
Přestanov	prestanov	usti-nad-labem	Ústí nad Labem
Soběhrdy	sobehrdy	benesov	Benešov
Hurtova Lhota	hurtova-lhota	havlickuv-brod	Havlíčkův Brod
Vysoká	vysoka	havlickuv-brod	Havlíčkův Brod
Ždírec	zdirec	havlickuv-brod	Havlíčkův Brod
Pšánky	psanky	hradec-kralove	Hradec Králové
Struhařov	struharov	benesov	Benešov
Úherčice	uhercice	chrudim	Chrudim
Střezimíř	strezimir	benesov	Benešov
Studený	studeny	benesov	Benešov
Brníčko	brnicko	sumperk	Šumperk
Staré Hrady	stare-hrady	jicin	Jičín
Bílkovice	bilkovice	benesov	Benešov
Tehov	tehov	benesov	Benešov
Teplýšovice	teplysovice	benesov	Benešov
Tichonice	tichonice	benesov	Benešov
Říkov	rikov	nachod	Náchod
Trnávka	trnavka	pardubice	Pardubice
Královec	kralovec	trutnov	Trutnov
Trhový Štěpánov	trhovy-stepanov	benesov	Benešov
Velenov	velenov	blansko	Blansko
Brambory	brambory	kutna-hora	Kutná Hora
Týnec nad Sázavou	tynec-nad-sazavou	benesov	Benešov
Semtěš	semtes	kutna-hora	Kutná Hora
Veliš	velis	benesov	Benešov
Starkoč	starkoc	kutna-hora	Kutná Hora
Vlašim	vlasim	benesov	Benešov
Vojkov	vojkov	benesov	Benešov
Votice	votice	benesov	Benešov
Vracovice	vracovice	benesov	Benešov
Vranov	vranov	benesov	Benešov
Štipoklasy	stipoklasy	kutna-hora	Kutná Hora
Vrchotovy Janovice	vrchotovy-janovice	benesov	Benešov
Opatovice I	opatovice-i	kutna-hora	Kutná Hora
Bludov	bludov	kutna-hora	Kutná Hora
Třebětín	trebetin	kutna-hora	Kutná Hora
Třebešice	trebesice	kutna-hora	Kutná Hora
Močovice	mocovice	kutna-hora	Kutná Hora
Ludíkov	ludikov	blansko	Blansko
Vodranty	vodranty	kutna-hora	Kutná Hora
Zdislavice	zdislavice	benesov	Benešov
Kamberk	kamberk	benesov	Benešov
Zvěstov	zvestov	benesov	Benešov
Beroun	beroun	beroun	Beroun
Souňov	sounov	kutna-hora	Kutná Hora
Běštín	bestin	beroun	Beroun
Broumy	broumy	beroun	Beroun
Březová	brezova	beroun	Beroun
Bubovice	bubovice	beroun	Beroun
Bernardov	bernardov	kutna-hora	Kutná Hora
Bzová	bzova	beroun	Beroun
Cerhovice	cerhovice	beroun	Beroun
Drahelčice	drahelcice	praha-zapad	Praha-západ
Drozdov	drozdov	beroun	Beroun
Felbabka	felbabka	beroun	Beroun
Hlásná Třebaň	hlasna-treban	beroun	Beroun
Hořovice	horovice	beroun	Beroun
Hlízov	hlizov	kutna-hora	Kutná Hora
Hostomice	hostomice	beroun	Beroun
Hředle	hredle	beroun	Beroun
Hudlice	hudlice	beroun	Beroun
Hvozdec	hvozdec	beroun	Beroun
Hýskov	hyskov	beroun	Beroun
Chaloupky	chaloupky	beroun	Beroun
Dolní Pohleď	dolni-pohled	kutna-hora	Kutná Hora
Paběnice	pabenice	kutna-hora	Kutná Hora
Bratčice	bratcice	kutna-hora	Kutná Hora
Chyňava	chynava	beroun	Beroun
Jivina	jivina	beroun	Beroun
Karlštejn	karlstejn	beroun	Beroun
Komárov	komarov	beroun	Beroun
Koněprusy	koneprusy	beroun	Beroun
Drobovice	drobovice	kutna-hora	Kutná Hora
Horky	horky	kutna-hora	Kutná Hora
Adamov	adamov	kutna-hora	Kutná Hora
Kublov	kublov	beroun	Beroun
Schořov	schorov	kutna-hora	Kutná Hora
Sudějov	sudejov	kutna-hora	Kutná Hora
Kobylnice	kobylnice	kutna-hora	Kutná Hora
Hraběšín	hrabesin	kutna-hora	Kutná Hora
Šebestěnice	sebestenice	kutna-hora	Kutná Hora
Horka I	horka-i	kutna-hora	Kutná Hora
Libomyšl	libomysl	beroun	Beroun
Liteň	liten	beroun	Beroun
Loděnice	lodenice	beroun	Beroun
Lochovice	lochovice	beroun	Beroun
Horušice	horusice	kutna-hora	Kutná Hora
Hostín	hostin	melnik	Mělník
Liblice	liblice	melnik	Mělník
Zlončice	zloncice	melnik	Mělník
Měňany	menany	beroun	Beroun
Mezouň	mezoun	beroun	Beroun
Mořina	morina	beroun	Beroun
Konětopy	konetopy	praha-vychod	Praha-východ
Tuhaň	tuhan	melnik	Mělník
Dobřeň	dobren	melnik	Mělník
Neumětely	neumetely	beroun	Beroun
Nižbor	nizbor	beroun	Beroun
Nový Jáchymov	novy-jachymov	beroun	Beroun
Nučice	nucice	praha-zapad	Praha-západ
Olešná	olesna	beroun	Beroun
Osek	osek	beroun	Beroun
Osov	osov	beroun	Beroun
Kanina	kanina	melnik	Mělník
Otročiněves	otrocineves	beroun	Beroun
Lobeč	lobec	melnik	Mělník
Podluhy	podluhy	beroun	Beroun
Praskolesy	praskolesy	beroun	Beroun
Nosálov	nosalov	melnik	Mělník
Rpety	rpety	beroun	Beroun
Rudná	rudna	praha-zapad	Praha-západ
Stránka	stranka	melnik	Mělník
Skuhrov	skuhrov	beroun	Beroun
Srbsko	srbsko	beroun	Beroun
Stašov	stasov	beroun	Beroun
Kadlín	kadlin	melnik	Mělník
Suchomasty	suchomasty	beroun	Beroun
Svatá	svata	beroun	Beroun
Svatý Jan pod Skalou	svaty-jan-pod-skalou	beroun	Beroun
Svinaře	svinare	beroun	Beroun
Tachlovice	tachlovice	praha-zapad	Praha-západ
Tetín	tetin	beroun	Beroun
Tlustice	tlustice	beroun	Beroun
Tmaň	tman	beroun	Beroun
Nedomice	nedomice	melnik	Mělník
Jeviněves	jevineves	melnik	Mělník
Trubská	trubska	beroun	Beroun
Lhotka	lhotka	melnik	Mělník
Újezd	ujezd	beroun	Beroun
Velký Chlumec	velky-chlumec	beroun	Beroun
Hostín u Vojkovic	hostin-u-vojkovic	melnik	Mělník
Vidim	vidim	melnik	Mělník
Vráž	vraz	beroun	Beroun
Všeradice	vseradice	beroun	Beroun
Vysoký Újezd	vysoky-ujezd	beroun	Beroun
Zadní Třebaň	zadni-treban	beroun	Beroun
Dolní Zimoř	dolni-zimor	melnik	Mělník
Zaječov	zajecov	beroun	Beroun
Záluží	zaluzi	beroun	Beroun
Zdice	zdice	beroun	Beroun
Žebrák	zebrak	beroun	Beroun
Chrášťany	chrastany	benesov	Benešov
Chlístov	chlistov	benesov	Benešov
Kladno	kladno	kladno	Kladno
Václavice	vaclavice	benesov	Benešov
Běloky	beloky	kladno	Kladno
Beřovice	berovice	kladno	Kladno
Borovnice	borovnice	benesov	Benešov
Blevice	blevice	kladno	Kladno
Brandýsek	brandysek	kladno	Kladno
Braškov	braskov	kladno	Kladno
Ješetice	jesetice	benesov	Benešov
Bratronice	bratronice	kladno	Kladno
Drahňovice	drahnovice	benesov	Benešov
Buštěhrad	bustehrad	kladno	Kladno
Tuřany	turany	kladno	Kladno
Cvrčovice	cvrcovice	kladno	Kladno
Lštění	lsteni	benesov	Benešov
Černuc	cernuc	kladno	Kladno
Červený Újezd	cerveny-ujezd	praha-zapad	Praha-západ
Doksy	doksy	kladno	Kladno
Slověnice	slovenice	benesov	Benešov
Litichovice	litichovice	benesov	Benešov
Všechlapy	vsechlapy	benesov	Benešov
Družec	druzec	kladno	Kladno
Dřetovice	dretovice	kladno	Kladno
Dřínov	drinov	kladno	Kladno
Třebešice	trebesice	benesov	Benešov
Horní Bezděkov	horni-bezdekov	kladno	Kladno
Hořešovice	horesovice	kladno	Kladno
Hospozín	hospozin	kladno	Kladno
Hostouň	hostoun	kladno	Kladno
Hradečno	hradecno	kladno	Kladno
Hrdlív	hrdliv	kladno	Kladno
Hřebeč	hrebec	kladno	Kladno
Blažejovice	blazejovice	benesov	Benešov
Chržín	chrzin	kladno	Kladno
Jarpice	jarpice	kladno	Kladno
Jedomělice	jedomelice	kladno	Kladno
Jemníky	jemniky	kladno	Kladno
Snět	snet	benesov	Benešov
Kačice	kacice	kladno	Kladno
Kamenné Žehrovice	kamenne-zehrovice	kladno	Kladno
Klobuky	klobuky	kladno	Kladno
Kmetiněves	kmetineves	kladno	Kladno
Knovíz	knoviz	kladno	Kladno
Koleč	kolec	kladno	Kladno
Šetějovice	setejovice	benesov	Benešov
