label	value
Stožice, okr. Strakonice	strakonice/stozice
Katov, okr. Tábor	tabor/katov
Lešany, okr. Benešov	benesov/lesany
Libež, okr. Benešov	benesov/libez
Bukovník, okr. Klatovy	klatovy/bukovnik
Loket, okr. Benešov	benesov/loket
Louňovice pod Blaníkem, okr. Benešov	benesov/lounovice-pod-blanikem
Maršovice, okr. Benešov	benesov/marsovice
Dobršín, okr. Klatovy	klatovy/dobrsin
Přestavlky, okr. Plzeň-jih	plzen-jih/prestavlky
Milínov, okr. Plzeň-jih	plzen-jih/milinov
Mezno, okr. Benešov	benesov/mezno
Miličín, okr. Benešov	benesov/milicin
Miřetice, okr. Benešov	benesov/miretice
Žákava, okr. Plzeň-jih	plzen-jih/zakava
Mnichovice, okr. Benešov	benesov/mnichovice
Mrač, okr. Benešov	benesov/mrac
Načeradec, okr. Benešov	benesov/naceradec
Hněvnice, okr. Plzeň-sever	plzen-sever/hnevnice
Bílov, okr. Plzeň-sever	plzen-sever/bilov
Potvorov, okr. Plzeň-sever	plzen-sever/potvorov
Nespeky, okr. Benešov	benesov/nespeky
Sedlec, okr. Plzeň-sever	plzen-sever/sedlec
Vysoká Libyně, okr. Plzeň-sever	plzen-sever/vysoka-libyne
Netvořice, okr. Benešov	benesov/netvorice
Neustupov, okr. Benešov	benesov/neustupov
Neveklov, okr. Benešov	benesov/neveklov
Čerňovice, okr. Plzeň-sever	plzen-sever/cernovice
Pláně, okr. Plzeň-sever	plzen-sever/plane
Olbramovice, okr. Benešov	benesov/olbramovice
Ostředek, okr. Benešov	benesov/ostredek
Kařízek, okr. Rokycany	rokycany/karizek
Drahoňův Újezd, okr. Rokycany	rokycany/drahonuv-ujezd
Radvanec, okr. Česká Lípa	ceska-lipa/radvanec
Janská, okr. Děčín	decin/janska
Petroupim, okr. Benešov	benesov/petroupim
Doubice, okr. Děčín	decin/doubice
Dalešice, okr. Jablonec nad Nisou	jablonec-nad-nisou/dalesice
Kunratice, okr. Liberec	liberec/kunratice
Poříčí nad Sázavou, okr. Benešov	benesov/porici-nad-sazavou
Postupice, okr. Benešov	benesov/postupice
Dlouhý Most, okr. Liberec	liberec/dlouhy-most
Pravonín, okr. Benešov	benesov/pravonin
Jeřmanice, okr. Liberec	liberec/jermanice
Přestavlky u Čerčan, okr. Benešov	benesov/prestavlky-u-cercan
Miřejovice, okr. Litoměřice	litomerice/mirejovice
Psáře, okr. Benešov	benesov/psare
Rabyně, okr. Benešov	benesov/rabyne
Radošovice, okr. Benešov	benesov/radosovice
Rataje, okr. Benešov	benesov/rataje
Kozly, okr. Louny	louny/kozly
Želkovice, okr. Louny	louny/zelkovice
Sedlec-Prčice, okr. Příbram	pribram/sedlec-prcice
Čeradice, okr. Louny	louny/ceradice
