label	value
Bedřichov, okr. Jablonec nad Nisou	jablonec-nad-nisou/bedrichov
Libějice, okr. Tábor	tabor/libejice
Desná, okr. Jablonec nad Nisou	jablonec-nad-nisou/desna
Držkov, okr. Jablonec nad Nisou	jablonec-nad-nisou/drzkov
Frýdštejn, okr. Jablonec nad Nisou	jablonec-nad-nisou/frydstejn
Lom, okr. Tábor	tabor/lom
Janov nad Nisou, okr. Jablonec nad Nisou	jablonec-nad-nisou/janov-nad-nisou
Jenišovice, okr. Jablonec nad Nisou	jablonec-nad-nisou/jenisovice
Jílové u Držkova, okr. Jablonec nad Nisou	jablonec-nad-nisou/jilove-u-drzkova
Haškovcova Lhota, okr. Tábor	tabor/haskovcova-lhota
Josefův Důl, okr. Jablonec nad Nisou	jablonec-nad-nisou/josefuv-dul
Koberovy, okr. Jablonec nad Nisou	jablonec-nad-nisou/koberovy
Dlouhá Lhota, okr. Tábor	tabor/dlouha-lhota
Kořenov, okr. Jablonec nad Nisou	jablonec-nad-nisou/korenov
Líšný, okr. Jablonec nad Nisou	jablonec-nad-nisou/lisny
Loužnice, okr. Jablonec nad Nisou	jablonec-nad-nisou/louznice
Lučany nad Nisou, okr. Jablonec nad Nisou	jablonec-nad-nisou/lucany-nad-nisou
Malá Skála, okr. Jablonec nad Nisou	jablonec-nad-nisou/mala-skala
Maršovice, okr. Jablonec nad Nisou	jablonec-nad-nisou/marsovice
Černýšovice, okr. Tábor	tabor/cernysovice
Nová Ves nad Nisou, okr. Jablonec nad Nisou	jablonec-nad-nisou/nova-ves-nad-nisou
Pěnčín, okr. Jablonec nad Nisou	jablonec-nad-nisou/pencin
Plavy, okr. Jablonec nad Nisou	jablonec-nad-nisou/plavy
Drahov, okr. Tábor	tabor/drahov
Radčice, okr. Jablonec nad Nisou	jablonec-nad-nisou/radcice
Rádlo, okr. Jablonec nad Nisou	jablonec-nad-nisou/radlo
Rychnov u Jablonce nad Nisou, okr. Jablonec nad Nisou	jablonec-nad-nisou/rychnov-u-jablonce-nad-nisou
Skuhrov, okr. Jablonec nad Nisou	jablonec-nad-nisou/skuhrov
Smržovka, okr. Jablonec nad Nisou	jablonec-nad-nisou/smrzovka
Tanvald, okr. Jablonec nad Nisou	jablonec-nad-nisou/tanvald
Velké Hamry, okr. Jablonec nad Nisou	jablonec-nad-nisou/velke-hamry
Vlastiboř, okr. Jablonec nad Nisou	jablonec-nad-nisou/vlastibor
Zásada, okr. Jablonec nad Nisou	jablonec-nad-nisou/zasada
Zlatá Olešnice, okr. Jablonec nad Nisou	jablonec-nad-nisou/zlata-olesnice
Železný Brod, okr. Jablonec nad Nisou	jablonec-nad-nisou/zelezny-brod
Liberec, okr. Liberec	liberec/liberec
Žíšov, okr. Tábor	tabor/zisov
Bílá, okr. Liberec	liberec/bila
Bílý Kostel nad Nisou, okr. Liberec	liberec/bily-kostel-nad-nisou
Zadní Střítež, okr. Tábor	tabor/zadni-stritez
Bulovka, okr. Liberec	liberec/bulovka
Cetenov, okr. Liberec	liberec/cetenov
Únice, okr. Strakonice	strakonice/unice
Český Dub, okr. Liberec	liberec/cesky-dub
Kubova Huť, okr. Prachatice	prachatice/kubova-hut
Klenovice, okr. Tábor	tabor/klenovice
Dolní Řasnice, okr. Liberec	liberec/dolni-rasnice
Frýdlant, okr. Liberec	liberec/frydlant
Habartice, okr. Liberec	liberec/habartice
Hejnice, okr. Liberec	liberec/hejnice
Hlavice, okr. Liberec	liberec/hlavice
Hodkovice nad Mohelkou, okr. Liberec	liberec/hodkovice-nad-mohelkou
Horní Řasnice, okr. Liberec	liberec/horni-rasnice
Poštovice, okr. Kladno	kladno/postovice
Hrádek nad Nisou, okr. Liberec	liberec/hradek-nad-nisou
Chotyně, okr. Liberec	liberec/chotyne
Chrastava, okr. Liberec	liberec/chrastava
Plchov, okr. Kladno	kladno/plchov
Jindřichovice pod Smrkem, okr. Liberec	liberec/jindrichovice-pod-smrkem
Kobyly, okr. Liberec	liberec/kobyly
Libochovičky, okr. Kladno	kladno/libochovicky
Krásný Les, okr. Liberec	liberec/krasny-les
Kryštofovo Údolí, okr. Liberec	liberec/krystofovo-udoli
Křižany, okr. Liberec	liberec/krizany
Páleč, okr. Kladno	kladno/palec
Lázně Libverda, okr. Liberec	liberec/lazne-libverda
Počaply, okr. Příbram	pribram/pocaply
Nestrašovice, okr. Příbram	pribram/nestrasovice
Mníšek, okr. Liberec	liberec/mnisek
Chrást, okr. Příbram	pribram/chrast
Horčápsko, okr. Příbram	pribram/horcapsko
Nové Město pod Smrkem, okr. Liberec	liberec/nove-mesto-pod-smrkem
Svojšice, okr. Příbram	pribram/svojsice
Oldřichov v Hájích, okr. Liberec	liberec/oldrichov-v-hajich
Osečná, okr. Liberec	liberec/osecna
Pěnčín, okr. Liberec	liberec/pencin
Pertoltice, okr. Liberec	liberec/pertoltice
Zbenice, okr. Příbram	pribram/zbenice
Županovice, okr. Příbram	pribram/zupanovice
Lazsko, okr. Příbram	pribram/lazsko
Příšovice, okr. Liberec	liberec/prisovice
Vrančice, okr. Příbram	pribram/vrancice
Raspenava, okr. Liberec	liberec/raspenava
Radětice, okr. Příbram	pribram/radetice
Rynoltice, okr. Liberec	liberec/rynoltice
Soběslavice, okr. Liberec	liberec/sobeslavice
Cetyně, okr. Příbram	pribram/cetyne
Světlá pod Ještědem, okr. Liberec	liberec/svetla-pod-jestedem
Svijanský Újezd, okr. Liberec	liberec/svijansky-ujezd
Svijany, okr. Liberec	liberec/svijany
Sychrov, okr. Liberec	liberec/sychrov
Šimonovice, okr. Liberec	liberec/simonovice
Narysov, okr. Příbram	pribram/narysov
Podlesí, okr. Příbram	pribram/podlesi
Višňová, okr. Liberec	liberec/visnova
Dubno, okr. Příbram	pribram/dubno
Vlastibořice, okr. Liberec	liberec/vlastiborice
Nepomuk, okr. Příbram	pribram/nepomuk
Všelibice, okr. Liberec	liberec/vselibice
Zdislava, okr. Liberec	liberec/zdislava
Bohostice, okr. Příbram	pribram/bohostice
Litoměřice, okr. Litoměřice	litomerice/litomerice
Bechlín, okr. Litoměřice	litomerice/bechlin
Starosedlský Hrádek, okr. Příbram	pribram/starosedlsky-hradek
Bohušovice nad Ohří, okr. Litoměřice	litomerice/bohusovice-nad-ohri
Hlubyně, okr. Příbram	pribram/hlubyne
Brňany, okr. Litoměřice	litomerice/brnany
Brozany nad Ohří, okr. Litoměřice	litomerice/brozany-nad-ohri
Sedlice, okr. Příbram	pribram/sedlice
Bříza, okr. Litoměřice	litomerice/briza
Budyně nad Ohří, okr. Litoměřice	litomerice/budyne-nad-ohri
Bukovany, okr. Příbram	pribram/bukovany
Ctiněves, okr. Litoměřice	litomerice/ctineves
Drahobudice, okr. Kolín	kolin/drahobudice
Černiv, okr. Litoměřice	litomerice/cerniv
Masojedy, okr. Kolín	kolin/masojedy
Čížkovice, okr. Litoměřice	litomerice/cizkovice
Děčany, okr. Litoměřice	litomerice/decany
Dlažkovice, okr. Litoměřice	litomerice/dlazkovice
Dobříň, okr. Litoměřice	litomerice/dobrin
Doksany, okr. Litoměřice	litomerice/doksany
Konojedy, okr. Praha-východ	praha-vychod/konojedy
Drahobuz, okr. Litoměřice	litomerice/drahobuz
Prusice, okr. Praha-východ	praha-vychod/prusice
Výžerky, okr. Praha-východ	praha-vychod/vyzerky
Hradešín, okr. Kolín	kolin/hradesin
Dušníky, okr. Litoměřice	litomerice/dusniky
Vrátkov, okr. Kolín	kolin/vratkov
Evaň, okr. Litoměřice	litomerice/evan
Hlinná, okr. Litoměřice	litomerice/hlinna
Horní Beřkovice, okr. Litoměřice	litomerice/horni-berkovice
Březí, okr. Praha-východ	praha-vychod/brezi
Hoštka, okr. Litoměřice	litomerice/hostka
Doubek, okr. Praha-východ	praha-vychod/doubek
Hrobce, okr. Litoměřice	litomerice/hrobce
Nupaky, okr. Praha-východ	praha-vychod/nupaky
Herink, okr. Praha-východ	praha-vychod/herink
Chodouny, okr. Litoměřice	litomerice/chodouny
Chodovlice, okr. Litoměřice	litomerice/chodovlice
Chotěšov, okr. Litoměřice	litomerice/chotesov
Chotiměř, okr. Litoměřice	litomerice/chotimer
Chotiněves, okr. Litoměřice	litomerice/chotineves
Káraný, okr. Praha-východ	praha-vychod/karany
Květnice, okr. Praha-východ	praha-vychod/kvetnice
Křenice, okr. Praha-východ	praha-vychod/krenice
Dobročovice, okr. Praha-východ	praha-vychod/dobrocovice
Keblice, okr. Litoměřice	litomerice/keblice
Klapý, okr. Litoměřice	litomerice/klapy
Kleneč, okr. Litoměřice	litomerice/klenec
Břežany, okr. Rakovník	rakovnik/brezany
Kostomlaty pod Řípem, okr. Litoměřice	litomerice/kostomlaty-pod-ripem
Krabčice, okr. Litoměřice	litomerice/krabcice
Křesín, okr. Litoměřice	litomerice/kresin
Křešice, okr. Litoměřice	litomerice/kresice
Kyškovice, okr. Litoměřice	litomerice/kyskovice
Levín, okr. Litoměřice	litomerice/levin
Lhotka nad Labem, okr. Litoměřice	litomerice/lhotka-nad-labem
Liběšice, okr. Litoměřice	litomerice/libesice
Všesulov, okr. Rakovník	rakovnik/vsesulov
Libkovice pod Řípem, okr. Litoměřice	litomerice/libkovice-pod-ripem
Libochovany, okr. Litoměřice	litomerice/libochovany
Libochovice, okr. Litoměřice	litomerice/libochovice
Libotenice, okr. Litoměřice	litomerice/libotenice
Děkov, okr. Rakovník	rakovnik/dekov
Kolešov, okr. Rakovník	rakovnik/kolesov
Hracholusky, okr. Rakovník	rakovnik/hracholusky
Lovečkovice, okr. Litoměřice	litomerice/loveckovice
Lovosice, okr. Litoměřice	litomerice/lovosice
Lukavec, okr. Litoměřice	litomerice/lukavec
Malé Žernoseky, okr. Litoměřice	litomerice/male-zernoseky
Martiněves, okr. Litoměřice	litomerice/martineves
Přílepy, okr. Rakovník	rakovnik/prilepy
Janov, okr. Rakovník	rakovnik/janov
Karlova Ves, okr. Rakovník	rakovnik/karlova-ves
Mlékojedy, okr. Litoměřice	litomerice/mlekojedy
Mnetěš, okr. Litoměřice	litomerice/mnetes
Mšené-lázně, okr. Litoměřice	litomerice/msene-lazne
Švihov, okr. Rakovník	rakovnik/svihov
Hvozd, okr. Rakovník	rakovnik/hvozd
Nové Dvory, okr. Litoměřice	litomerice/nove-dvory
Krakov, okr. Rakovník	rakovnik/krakov
Krakovec, okr. Rakovník	rakovnik/krakovec
Malinová, okr. Rakovník	rakovnik/malinova
Kozojedy, okr. Rakovník	rakovnik/kozojedy
Ploskovice, okr. Litoměřice	litomerice/ploskovice
Smilovice, okr. Rakovník	rakovnik/smilovice
Podsedice, okr. Litoměřice	litomerice/podsedice
Bdín, okr. Rakovník	rakovnik/bdin
Polepy, okr. Litoměřice	litomerice/polepy
Kalivody, okr. Rakovník	rakovnik/kalivody
Prackovice nad Labem, okr. Litoměřice	litomerice/prackovice-nad-labem
Milý, okr. Rakovník	rakovnik/mily
Přestavlky, okr. Litoměřice	litomerice/prestavlky
Račice, okr. Litoměřice	litomerice/racice
Račiněves, okr. Litoměřice	litomerice/racineves
Řeřichy, okr. Rakovník	rakovnik/rerichy
Václavy, okr. Rakovník	rakovnik/vaclavy
Radovesice, okr. Litoměřice	litomerice/radovesice
Sovínky, okr. Mladá Boleslav	mlada-boleslav/sovinky
Rochov, okr. Litoměřice	litomerice/rochov
Roudnice nad Labem, okr. Litoměřice	litomerice/roudnice-nad-labem
Lipník, okr. Mladá Boleslav	mlada-boleslav/lipnik
Vlkava, okr. Mladá Boleslav	mlada-boleslav/vlkava
Plužná, okr. Mladá Boleslav	mlada-boleslav/pluzna
Siřejovice, okr. Litoměřice	litomerice/sirejovice
Slatina, okr. Litoměřice	litomerice/slatina
Snědovice, okr. Litoměřice	litomerice/snedovice
Vinařice, okr. Mladá Boleslav	mlada-boleslav/vinarice
Rohatsko, okr. Mladá Boleslav	mlada-boleslav/rohatsko
Mečeříž, okr. Mladá Boleslav	mlada-boleslav/meceriz
Rabakov, okr. Mladá Boleslav	mlada-boleslav/rabakov
Řitonice, okr. Mladá Boleslav	mlada-boleslav/ritonice
Straškov-Vodochody, okr. Litoměřice	litomerice/straskov-vodochody
Sulejovice, okr. Litoměřice	litomerice/sulejovice
Štětí, okr. Litoměřice	litomerice/steti
Terezín, okr. Litoměřice	litomerice/terezin
Veselice, okr. Mladá Boleslav	mlada-boleslav/veselice
Hrušov, okr. Mladá Boleslav	mlada-boleslav/hrusov
Travčice, okr. Litoměřice	litomerice/travcice
Bílá Hlína, okr. Mladá Boleslav	mlada-boleslav/bila-hlina
Třebenice, okr. Litoměřice	litomerice/trebenice
Třebívlice, okr. Litoměřice	litomerice/trebivlice
Charvatce, okr. Mladá Boleslav	mlada-boleslav/charvatce
Třebušín, okr. Litoměřice	litomerice/trebusin
Úpohlavy, okr. Litoměřice	litomerice/upohlavy
Úštěk, okr. Litoměřice	litomerice/ustek
Mohelnice nad Jizerou, okr. Mladá Boleslav	mlada-boleslav/mohelnice-nad-jizerou
Vědomice, okr. Litoměřice	litomerice/vedomice
Velemín, okr. Litoměřice	litomerice/velemin
Velké Žernoseky, okr. Litoměřice	litomerice/velke-zernoseky
Vchynice, okr. Litoměřice	litomerice/vchynice
Vlastislav, okr. Litoměřice	litomerice/vlastislav
Vražkov, okr. Litoměřice	litomerice/vrazkov
Vrbice, okr. Litoměřice	litomerice/vrbice
Vrbičany, okr. Litoměřice	litomerice/vrbicany
Vrutice, okr. Litoměřice	litomerice/vrutice
Sudoměř, okr. Mladá Boleslav	mlada-boleslav/sudomer
Žabovřesky nad Ohří, okr. Litoměřice	litomerice/zabovresky-nad-ohri
Žalhostice, okr. Litoměřice	litomerice/zalhostice
Židovice, okr. Litoměřice	litomerice/zidovice
Žitenice, okr. Litoměřice	litomerice/zitenice
Louny, okr. Louny	louny/louny
Hlavenec, okr. Praha-východ	praha-vychod/hlavenec
Bitozeves, okr. Louny	louny/bitozeves
Blatno, okr. Louny	louny/blatno
Blažim, okr. Louny	louny/blazim
Blšany, okr. Louny	louny/blsany
Jizerní Vtelno, okr. Mladá Boleslav	mlada-boleslav/jizerni-vtelno
Košátky, okr. Mladá Boleslav	mlada-boleslav/kosatky
Vřeskovice, okr. Klatovy	klatovy/vreskovice
Břvany, okr. Louny	louny/brvany
Všekary, okr. Domažlice	domazlice/vsekary
Čečovice, okr. Domažlice	domazlice/cecovice
Černovice, okr. Domažlice	domazlice/cernovice
Štichov, okr. Domažlice	domazlice/stichov
Deštnice, okr. Louny	louny/destnice
Brnířov, okr. Domažlice	domazlice/brnirov
Kanice, okr. Domažlice	domazlice/kanice
Domoušice, okr. Louny	louny/domousice
Úboč, okr. Domažlice	domazlice/uboc
Hradiště, okr. Domažlice	domazlice/hradiste
Holedeč, okr. Louny	louny/holedec
Hříškov, okr. Louny	louny/hriskov
Otov, okr. Domažlice	domazlice/otov
Hřivice, okr. Louny	louny/hrivice
Chlumčany, okr. Louny	louny/chlumcany
Chožov, okr. Louny	louny/chozov
Vlkanov, okr. Domažlice	domazlice/vlkanov
Hora Svatého Václava, okr. Domažlice	domazlice/hora-svateho-vaclava
Koštice, okr. Louny	louny/kostice
Mnichov, okr. Domažlice	domazlice/mnichov
Krásný Dvůr, okr. Louny	louny/krasny-dvur
Kryry, okr. Louny	louny/kryry
Lenešice, okr. Louny	louny/lenesice
Hvožďany, okr. Domažlice	domazlice/hvozdany
Libčeves, okr. Louny	louny/libceves
Liběšice, okr. Louny	louny/libesice
Poděvousy, okr. Domažlice	domazlice/podevousy
Pelechy, okr. Domažlice	domazlice/pelechy
Libořice, okr. Louny	louny/liborice
Hlince, okr. Plzeň-sever	plzen-sever/hlince
Lipno, okr. Louny	louny/lipno
Lišany, okr. Louny	louny/lisany
Líté, okr. Plzeň-sever	plzen-sever/lite
Lubenec, okr. Louny	louny/lubenec
Loza, okr. Plzeň-sever	plzen-sever/loza
Měcholupy, okr. Louny	louny/mecholupy
Lochousice, okr. Plzeň-sever	plzen-sever/lochousice
Bohy, okr. Plzeň-sever	plzen-sever/bohy
Brodeslavy, okr. Plzeň-sever	plzen-sever/brodeslavy
Všehrdy, okr. Plzeň-sever	plzen-sever/vsehrdy
Nepomyšl, okr. Louny	louny/nepomysl
Nové Sedlo, okr. Louny	louny/nove-sedlo
Očihov, okr. Louny	louny/ocihov
Panenský Týnec, okr. Louny	louny/panensky-tynec
Myslinka, okr. Plzeň-sever	plzen-sever/myslinka
Peruc, okr. Louny	louny/peruc
Petrohrad, okr. Louny	louny/petrohrad
Pnětluky, okr. Louny	louny/pnetluky
Počedělice, okr. Louny	louny/pocedelice
Újezd nade Mží, okr. Plzeň-sever	plzen-sever/ujezd-nade-mzi
Podbořanský Rohozec, okr. Louny	louny/podboransky-rohozec
Podbořany, okr. Louny	louny/podborany
Postoloprty, okr. Louny	louny/postoloprty
Černíkovice, okr. Plzeň-sever	plzen-sever/cernikovice
Hlohovčice, okr. Domažlice	domazlice/hlohovcice
Raná, okr. Louny	louny/rana
Ročov, okr. Louny	louny/rocov
Vrbice, okr. Karlovy Vary	karlovy-vary/vrbice
Dražovice, okr. Klatovy	klatovy/drazovice
Vlčí, okr. Plzeň-jih	plzen-jih/vlci
Borovno, okr. Plzeň-jih	plzen-jih/borovno
Slavětín, okr. Louny	louny/slavetin
Smolnice, okr. Louny	louny/smolnice
Holovousy, okr. Plzeň-sever	plzen-sever/holovousy
Slatina, okr. Plzeň-sever	plzen-sever/slatina
Bdeněves, okr. Plzeň-sever	plzen-sever/bdeneves
Blažim, okr. Plzeň-sever	plzen-sever/blazim
Pastuchovice, okr. Plzeň-sever	plzen-sever/pastuchovice
Všenice, okr. Rokycany	rokycany/vsenice
Terešov, okr. Rokycany	rokycany/teresov
Kamenec, okr. Rokycany	rokycany/kamenec
Toužetín, okr. Louny	louny/touzetin
Němčovice, okr. Rokycany	rokycany/nemcovice
Skomelno, okr. Rokycany	rokycany/skomelno
Tuchořice, okr. Louny	louny/tuchorice
Plískov, okr. Rokycany	rokycany/pliskov
Velemyšleves, okr. Louny	louny/velemysleves
Olbramov, okr. Tachov	tachov/olbramov
Veltěže, okr. Louny	louny/velteze
Růžová, okr. Děčín	decin/ruzova
Vinařice, okr. Louny	louny/vinarice
Vrbno nad Lesy, okr. Louny	louny/vrbno-nad-lesy
Vroutek, okr. Louny	louny/vroutek
Raková, okr. Rokycany	rokycany/rakova
Výškov, okr. Louny	louny/vyskov
Výrov, okr. Plzeň-sever	plzen-sever/vyrov
Zbrašín, okr. Louny	louny/zbrasin
Žatec, okr. Louny	louny/zatec
Ostrovec-Lhotka, okr. Rokycany	rokycany/ostrovec-lhotka
Lhota pod Radčem, okr. Rokycany	rokycany/lhota-pod-radcem
Žiželice, okr. Louny	louny/zizelice
Most, okr. Most	most/most
Bečov, okr. Most	most/becov
Bělušice, okr. Most	most/belusice
Braňany, okr. Most	most/branany
Brandov, okr. Most	most/brandov
Příšov, okr. Plzeň-sever	plzen-sever/prisov
Český Jiřetín, okr. Most	most/cesky-jiretin
Havraň, okr. Most	most/havran
Hora Svaté Kateřiny, okr. Most	most/hora-svate-kateriny
Horní Jiřetín, okr. Most	most/horni-jiretin
Klíny, okr. Most	most/kliny
Korozluky, okr. Most	most/korozluky
Lišnice, okr. Most	most/lisnice
Litvínov, okr. Most	most/litvinov
Lom, okr. Most	most/lom
Louka u Litvínova, okr. Most	most/louka-u-litvinova
Lužice, okr. Most	most/luzice
Malé Březno, okr. Most	most/male-brezno
Mariánské Radčice, okr. Most	most/marianske-radcice
Meziboří, okr. Most	most/mezibori
Nová Ves v Horách, okr. Most	most/nova-ves-v-horach
Obrnice, okr. Most	most/obrnice
Patokryje, okr. Most	most/patokryje
Polerady, okr. Most	most/polerady
Skršín, okr. Most	most/skrsin
Želenice, okr. Most	most/zelenice
Teplice, okr. Teplice	teplice/teplice
Bílina, okr. Teplice	teplice/bilina
Bořislav, okr. Teplice	teplice/borislav
Bystřany, okr. Teplice	teplice/bystrany
Bžany, okr. Teplice	teplice/bzany
Dubí, okr. Teplice	teplice/dubi
Duchcov, okr. Teplice	teplice/duchcov
Háj u Duchcova, okr. Teplice	teplice/haj-u-duchcova
Hostomice, okr. Teplice	teplice/hostomice
Hrob, okr. Teplice	teplice/hrob
Hrobčice, okr. Teplice	teplice/hrobcice
Jeníkov, okr. Teplice	teplice/jenikov
Kladruby, okr. Teplice	teplice/kladruby
Kostomlaty pod Milešovkou, okr. Teplice	teplice/kostomlaty-pod-milesovkou
Košťany, okr. Teplice	teplice/kostany
Krupka, okr. Teplice	teplice/krupka
Lahošť, okr. Teplice	teplice/lahost
Ledvice, okr. Teplice	teplice/ledvice
Měrunice, okr. Teplice	teplice/merunice
Mikulov, okr. Teplice	teplice/mikulov
Modlany, okr. Teplice	teplice/modlany
Moldava, okr. Teplice	teplice/moldava
Novosedlice, okr. Teplice	teplice/novosedlice
Ohníč, okr. Teplice	teplice/ohnic
Osek, okr. Teplice	teplice/osek
Proboštov, okr. Teplice	teplice/probostov
Rtyně nad Bílinou, okr. Teplice	teplice/rtyne-nad-bilinou
Srbice, okr. Teplice	teplice/srbice
Světec, okr. Teplice	teplice/svetec
Újezdeček, okr. Teplice	teplice/ujezdecek
Zabrušany, okr. Teplice	teplice/zabrusany
Žalany, okr. Teplice	teplice/zalany
Žim, okr. Teplice	teplice/zim
Ústí nad Labem-město, okr. Ústí nad Labem	usti-nad-labem/usti-nad-labem-mesto
Dolní Zálezly, okr. Ústí nad Labem	usti-nad-labem/dolni-zalezly
Habrovany, okr. Ústí nad Labem	usti-nad-labem/habrovany
Homole u Panny, okr. Ústí nad Labem	usti-nad-labem/homole-u-panny
Chabařovice, okr. Ústí nad Labem	usti-nad-labem/chabarovice
Chlumec, okr. Ústí nad Labem	usti-nad-labem/chlumec
Chuderov, okr. Ústí nad Labem	usti-nad-labem/chuderov
Libouchec, okr. Ústí nad Labem	usti-nad-labem/libouchec
Malé Březno, okr. Ústí nad Labem	usti-nad-labem/male-brezno
Malečov, okr. Ústí nad Labem	usti-nad-labem/malecov
Petrovice, okr. Ústí nad Labem	usti-nad-labem/petrovice
Povrly, okr. Ústí nad Labem	usti-nad-labem/povrly
Žermanice, okr. Frýdek-Místek	frydek-mistek/zermanice
Kružberk, okr. Opava	opava/kruzberk
Staré Těchanovice, okr. Opava	opava/stare-techanovice
Řehlovice, okr. Ústí nad Labem	usti-nad-labem/rehlovice
Hať, okr. Opava	opava/hat
Darkovice, okr. Opava	opava/darkovice
Děhylov, okr. Opava	opava/dehylov
Vřesina, okr. Opava	opava/vresina
Budišovice, okr. Opava	opava/budisovice
Mikolajice, okr. Opava	opava/mikolajice
Tašov, okr. Ústí nad Labem	usti-nad-labem/tasov
Telnice, okr. Ústí nad Labem	usti-nad-labem/telnice
Tisá, okr. Ústí nad Labem	usti-nad-labem/tisa
Radkov, okr. Opava	opava/radkov
Štáblovice, okr. Opava	opava/stablovice
Uhlířov, okr. Opava	opava/uhlirov
Velké Březno, okr. Ústí nad Labem	usti-nad-labem/velke-brezno
Hlubočec, okr. Opava	opava/hlubocec
Rohov, okr. Opava	opava/rohov
Zubrnice, okr. Ústí nad Labem	usti-nad-labem/zubrnice
Doloplazy, okr. Olomouc	olomouc/doloplazy
Slatina, okr. Nový Jičín	novy-jicin/slatina
Havlíčkův Brod, okr. Havlíčkův Brod	havlickuv-brod/havlickuv-brod
Velké Albrechtice, okr. Nový Jičín	novy-jicin/velke-albrechtice
Bordovice, okr. Nový Jičín	novy-jicin/bordovice
Zbyslavice, okr. Ostrava-město	ostrava-mesto/zbyslavice
Bojiště, okr. Havlíčkův Brod	havlickuv-brod/bojiste
Borek, okr. Havlíčkův Brod	havlickuv-brod/borek
Závišice, okr. Nový Jičín	novy-jicin/zavisice
Bernartice nad Odrou, okr. Nový Jičín	novy-jicin/bernartice-nad-odrou
Čachotín, okr. Havlíčkův Brod	havlickuv-brod/cachotin
Česká Bělá, okr. Havlíčkův Brod	havlickuv-brod/ceska-bela
Hostašovice, okr. Nový Jičín	novy-jicin/hostasovice
Číhošť, okr. Havlíčkův Brod	havlickuv-brod/cihost
Dlouhá Ves, okr. Havlíčkův Brod	havlickuv-brod/dlouha-ves
Kunín, okr. Nový Jičín	novy-jicin/kunin
Rybí, okr. Nový Jičín	novy-jicin/rybi
Heřmanice u Oder, okr. Nový Jičín	novy-jicin/hermanice-u-oder
Heřmánky, okr. Nový Jičín	novy-jicin/hermanky
Mankovice, okr. Nový Jičín	novy-jicin/mankovice
Dolní Krupá, okr. Havlíčkův Brod	havlickuv-brod/dolni-krupa
Dolní Město, okr. Havlíčkův Brod	havlickuv-brod/dolni-mesto
Druhanov, okr. Havlíčkův Brod	havlickuv-brod/druhanov
Golčův Jeníkov, okr. Havlíčkův Brod	havlickuv-brod/golcuv-jenikov
Kateřinice, okr. Nový Jičín	novy-jicin/katerinice
Habry, okr. Havlíčkův Brod	havlickuv-brod/habry
Havlíčkova Borová, okr. Havlíčkův Brod	havlickuv-brod/havlickova-borova
Herálec, okr. Havlíčkův Brod	havlickuv-brod/heralec
Mošnov, okr. Nový Jičín	novy-jicin/mosnov
Hněvkovice, okr. Havlíčkův Brod	havlickuv-brod/hnevkovice
Horní Krupá, okr. Havlíčkův Brod	havlickuv-brod/horni-krupa
Skotnice, okr. Nový Jičín	novy-jicin/skotnice
Hradec, okr. Havlíčkův Brod	havlickuv-brod/hradec
Ženklava, okr. Nový Jičín	novy-jicin/zenklava
Albrechtičky, okr. Nový Jičín	novy-jicin/albrechticky
Chotěboř, okr. Havlíčkův Brod	havlickuv-brod/chotebor
Chrtníč, okr. Havlíčkův Brod	havlickuv-brod/chrtnic
Pustějov, okr. Nový Jičín	novy-jicin/pustejov
Jedlá, okr. Havlíčkův Brod	havlickuv-brod/jedla
Soběšovice, okr. Frýdek-Místek	frydek-mistek/sobesovice
Jeřišno, okr. Havlíčkův Brod	havlickuv-brod/jerisno
Pražmo, okr. Frýdek-Místek	frydek-mistek/prazmo
Kámen, okr. Havlíčkův Brod	havlickuv-brod/kamen
Řepiště, okr. Frýdek-Místek	frydek-mistek/repiste
Kamenná Lhota, okr. Havlíčkův Brod	havlickuv-brod/kamenna-lhota
Klokočov, okr. Havlíčkův Brod	havlickuv-brod/klokocov
Doubrava, okr. Karviná	karvina/doubrava
Charváty, okr. Olomouc	olomouc/charvaty
Kojetín, okr. Havlíčkův Brod	havlickuv-brod/kojetin
Kozlov, okr. Havlíčkův Brod	havlickuv-brod/kozlov
Kožlí, okr. Havlíčkův Brod	havlickuv-brod/kozli
Měrotín, okr. Olomouc	olomouc/merotin
Krásná Hora, okr. Havlíčkův Brod	havlickuv-brod/krasna-hora
Krátká Ves, okr. Havlíčkův Brod	havlickuv-brod/kratka-ves
Krucemburk, okr. Havlíčkův Brod	havlickuv-brod/krucemburk
Květinov, okr. Havlíčkův Brod	havlickuv-brod/kvetinov
Vilémov, okr. Olomouc	olomouc/vilemov
Kynice, okr. Havlíčkův Brod	havlickuv-brod/kynice
Ledeč nad Sázavou, okr. Havlíčkův Brod	havlickuv-brod/ledec-nad-sazavou
Leškovice, okr. Havlíčkův Brod	havlickuv-brod/leskovice
Liboš, okr. Olomouc	olomouc/libos
Leština u Světlé, okr. Havlíčkův Brod	havlickuv-brod/lestina-u-svetle
Libice nad Doubravou, okr. Havlíčkův Brod	havlickuv-brod/libice-nad-doubravou
Lípa, okr. Havlíčkův Brod	havlickuv-brod/lipa
Lipnice nad Sázavou, okr. Havlíčkův Brod	havlickuv-brod/lipnice-nad-sazavou
Strukov, okr. Olomouc	olomouc/strukov
Lučice, okr. Havlíčkův Brod	havlickuv-brod/lucice
Malčín, okr. Havlíčkův Brod	havlickuv-brod/malcin
Maleč, okr. Havlíčkův Brod	havlickuv-brod/malec
